year,match_number,team_a,goals_team_a,goals_team_b,team_b
1991, 1,China PR,4,0,Norway
1991, 6,Germany,4,0,Nigeria
1991, 4,Sweden,2,3,USA
1991, 2,Denmark,3,0,New Zealand
1991, 3,Japan,0,1,Brazil
1991, 5,Chinese Taipei,0,5,Italy
1991, 8,Norway,4,0,New Zealand
1991,12,Italy,1,0,Nigeria
1991,10,Brazil,0,5,USA
1991, 7,China PR,2,2,Denmark
1991,11,Chinese Taipei,0,3,Germany
1991, 9,Japan,0,8,Sweden
1991,15,Japan,0,3,USA
1991,16,Brazil,0,2,Sweden
1991,14,Norway,2,1,Denmark
1991,13,China PR,4,1,New Zealand
1991,17,Chinese Taipei,2,0,Nigeria
1991,18,Italy,0,2,Germany
1991,21,Denmark,1,2,Germany
1991,19,China PR,0,1,Sweden
1991,20,Norway,3,2,Italy
1991,22,USA,7,0,Chinese Taipei
1991,23,Sweden,1,4,Norway
1991,24,Germany,2,5,USA
1991,25,Sweden,4,0,Germany
1991,26,Norway,1,2,USA
1995, 2,Germany,1,0,Japan
1995, 1,Sweden,0,1,Brazil
1995, 4,England,3,2,Canada
1995, 6,Denmark,5,0,Australia
1995, 3,Norway,8,0,Nigeria
1995, 5,USA,3,3,China PR
1995, 7,Sweden,3,2,Germany
1995, 8,Brazil,1,2,Japan
1995,10,Nigeria,3,3,Canada
1995,11,USA,2,0,Denmark
1995, 9,Norway,2,0,England
1995,12,China PR,4,2,Australia
1995,14,Brazil,1,6,Germany
1995,13,Sweden,2,0,Japan
1995,18,China PR,3,1,Denmark
1995,16,Nigeria,2,3,England
1995,17,USA,4,1,Australia
1995,15,Norway,7,0,Canada
1995,21,Japan,0,4,USA
1995,22,Norway,3,1,Denmark
1995,20,Sweden,1,1,China PR
1995,19,Germany,3,0,England
1995,24,USA,0,1,Norway
1995,23,Germany,1,0,China PR
1995,25,China PR,0,2,USA
1995,26,Germany,0,2,Norway
1999, 1,USA,3,0,Denmark
1999, 4,Brazil,7,1,Mexico
1999, 7,China PR,2,1,Sweden
1999, 6,Japan,1,1,Canada
1999, 5,Norway,2,1,Russia
1999, 3,Germany,1,1,Italy
1999, 8,Australia,1,1,Ghana
1999, 2,Korea DPR,1,2,Nigeria
1999,13,Norway,7,1,Canada
1999,16,Australia,1,3,Sweden
1999,14,Japan,0,5,Russia
1999,15,China PR,7,0,Ghana
1999,12,Brazil,2,0,Italy
1999, 9,USA,7,1,Nigeria
1999,10,Korea DPR,3,1,Denmark
1999,11,Germany,6,0,Mexico
1999,22,Canada,1,4,Russia
1999,23,China PR,3,1,Australia
1999,24,Ghana,0,2,Sweden
1999,21,Norway,4,0,Japan
1999,19,Germany,3,3,Brazil
1999,18,Nigeria,2,0,Denmark
1999,20,Mexico,0,2,Italy
1999,17,USA,3,0,Korea DPR
1999,28,China PR,2,0,Russia
1999,27,Norway,3,1,Sweden
1999,25,USA,3,2,Germany
1999,26,Brazil,4,3,Nigeria
1999,29,USA,2,0,Brazil
1999,30,Norway,0,5,China PR
1999,31,Brazil,0,0,Norway
1999,32,USA,0,0,China PR
2003, 1,Norway,2,0,France
2003, 2,Nigeria,0,3,Korea DPR
2003, 3,Germany,4,1,Canada
2003, 4,Japan,6,0,Argentina
2003, 5,USA,3,1,Sweden
2003, 6,Brazil,3,0,Korea Republic
2003, 7,Australia,1,2,Russia
2003, 8,China PR,1,0,Ghana
2003, 9,Norway,1,4,Brazil
2003,11,Germany,3,0,Japan
2003,10,France,1,0,Korea Republic
2003,12,Canada,3,0,Argentina
2003,13,Sweden,1,0,Korea DPR
2003,15,Ghana,0,3,Russia
2003,14,USA,5,0,Nigeria
2003,16,China PR,1,1,Australia
2003,17,Korea Republic,1,7,Norway
2003,19,France,1,1,Brazil
2003,20,Argentina,1,6,Germany
2003,18,Canada,3,1,Japan
2003,21,Sweden,3,0,Nigeria
2003,22,Korea DPR,0,3,USA
2003,23,Ghana,2,1,Australia
2003,24,China PR,1,0,Russia
2003,26,Brazil,1,2,Sweden
2003,25,USA,1,0,Norway
2003,27,Germany,7,1,Russia
2003,28,China PR,0,1,Canada
2003,29,USA,0,3,Germany
2003,30,Sweden,2,1,Canada
2003,31,USA,3,1,Canada
2003,32,Germany,2,1,Sweden
2007, 1,Germany,11,0,Argentina
2007, 3,USA,2,2,Korea DPR
2007, 4,Nigeria,1,1,Sweden
2007, 2,Japan,2,2,England
2007, 5,Ghana,1,4,Australia
2007, 7,New Zealand,0,5,Brazil
2007, 6,Norway,2,1,Canada
2007, 8,China PR,3,2,Denmark
2007,11,Sweden,0,2,USA
2007, 9,Argentina,0,1,Japan
2007,10,England,0,0,Germany
2007,12,Korea DPR,2,0,Nigeria
2007,15,Denmark,2,0,New Zealand
2007,13,Canada,4,0,Ghana
2007,14,Australia,1,1,Norway
2007,16,Brazil,4,0,China PR
2007,18,England,6,1,Argentina
2007,17,Germany,2,0,Japan
2007,20,Korea DPR,1,2,Sweden
2007,19,Nigeria,0,1,USA
2007,22,Australia,2,2,Canada
2007,21,Norway,7,2,Ghana
2007,23,China PR,2,0,New Zealand
2007,24,Brazil,1,0,Denmark
2007,25,Germany,3,0,Korea DPR
2007,26,USA,3,0,England
2007,27,Norway,1,0,China PR
2007,28,Brazil,3,2,Australia
2007,29,Germany,3,0,Norway
2007,30,USA,0,4,Brazil
2007,31,Norway,1,4,USA
2007,32,Germany,2,0,Brazil
2011, 2,Nigeria,0,1,France
2011, 1,Germany,2,1,Canada
2011, 3,Japan,2,1,New Zealand
2011, 4,Mexico,1,1,England
2011, 6,Colombia,0,1,Sweden
2011, 5,USA,2,0,Korea DPR
2011, 8,Norway,1,0,Equatorial Guinea
2011, 7,Brazil,1,0,Australia
2011,10,Canada,0,4,France
2011, 9,Germany,1,0,Nigeria
2011,11,Japan,4,0,Mexico
2011,12,New Zealand,1,2,England
2011,14,Korea DPR,0,1,Sweden
2011,13,USA,3,0,Colombia
2011,16,Australia,3,2,Equatorial Guinea
2011,15,Brazil,3,0,Norway
2011,20,New Zealand,2,2,Mexico
2011,19,England,2,0,Japan
2011,17,France,2,4,Germany
2011,18,Canada,0,1,Nigeria
2011,23,Equatorial Guinea,0,3,Brazil
2011,24,Australia,2,1,Norway
2011,21,Sweden,2,1,USA
2011,22,Korea DPR,0,0,Colombia
2011,26,England,1,1,France
2011,25,Germany,0,1,Japan
2011,27,Sweden,3,1,Australia
2011,28,Brazil,2,2,USA
2011,30,France,1,3,USA
2011,29,Japan,3,1,Sweden
2011,31,Sweden,2,1,France
2011,32,Japan,2,2,USA
2015, 1,Canada,1,0,China PR
2015, 2,New Zealand,0,1,Netherlands
2015, 4,Norway,4,0,Thailand
2015, 3,Germany,10,0,Côte d'Ivoire
2015, 8,Sweden,3,3,Nigeria
2015, 6,Cameroon,6,0,Ecuador
2015, 7,USA,3,1,Australia
2015, 5,Japan,1,0,Switzerland
2015,11,France,1,0,England
2015,10,Spain,1,1,Costa Rica
2015,12,Colombia,1,1,Mexico
2015, 9,Brazil,2,0,Korea Republic
2015,15,Germany,1,1,Norway
2015,14,China PR,1,0,Netherlands
2015,16,Côte d'Ivoire,2,3,Thailand
2015,13,Canada,0,0,New Zealand
2015,20,Australia,2,0,Nigeria
2015,18,Switzerland,10,1,Ecuador
2015,19,USA,0,0,Sweden
2015,17,Japan,2,1,Cameroon
2015,23,France,0,2,Colombia
2015,24,England,2,1,Mexico
2015,21,Brazil,1,0,Spain
2015,22,Korea Republic,2,2,Costa Rica
2015,28,Côte d'Ivoire,1,3,Norway
2015,27,Thailand,0,4,Germany
2015,26,China PR,2,2,New Zealand
2015,25,Netherlands,1,1,Canada
2015,30,Switzerland,1,2,Cameroon
2015,29,Ecuador,0,1,Japan
2015,32,Australia,1,1,Sweden
2015,31,Nigeria,0,1,USA
2015,35,Mexico,0,5,France
2015,36,England,2,1,Colombia
2015,33,Costa Rica,0,1,Brazil
2015,34,Korea Republic,2,1,Spain
2015,39,Germany,4,1,Sweden
2015,37,China PR,1,0,Cameroon
2015,41,Brazil,0,1,Australia
2015,40,France,3,0,Korea Republic
2015,44,Canada,1,0,Switzerland
2015,43,Norway,1,2,England
2015,38,USA,2,0,Colombia
2015,42,Japan,2,1,Netherlands
2015,46,Germany,1,1,France
2015,45,China PR,0,1,USA
2015,47,Australia,0,1,Japan
2015,48,England,2,1,Canada
2015,49,USA,2,0,Germany
2015,50,Japan,2,1,England
2015,51,Germany,0,1,England
2015,52,USA,5,2,Japan
2019, 1,France,4,0,Korea Republic
2019, 3,Germany,1,0,China PR
2019, 4,Spain,3,1,South Africa
2019, 2,Norway,3,0,Nigeria
2019, 5,Australia,1,2,Italy
2019, 6,Brazil,3,0,Jamaica
2019, 7,England,2,1,Scotland
2019, 8,Argentina,0,0,Japan
2019, 9,Canada,1,0,Cameroon
2019,10,New Zealand,0,1,Netherlands
2019,12,Chile,0,2,Sweden
2019,11,USA,13,0,Thailand
2019,14,Nigeria,2,0,Korea Republic
2019,15,Germany,1,0,Spain
2019,13,France,2,1,Norway
2019,17,Australia,3,2,Brazil
2019,16,South Africa,0,1,China PR
2019,20,Japan,2,1,Scotland
2019,18,Jamaica,0,5,Italy
2019,19,England,1,0,Argentina
2019,22,Netherlands,3,1,Cameroon
2019,21,Canada,2,0,New Zealand
2019,24,Sweden,5,1,Thailand
2019,23,USA,3,0,Chile
2019,27,South Africa,0,4,Germany
2019,28,China PR,0,0,Spain
2019,25,Nigeria,0,1,France
2019,26,Korea Republic,1,2,Norway
2019,30,Italy,0,1,Brazil
2019,29,Jamaica,1,4,Australia
2019,32,Scotland,3,3,Argentina
2019,31,Japan,0,2,England
2019,34,Cameroon,2,1,New Zealand
2019,33,Netherlands,2,1,Canada
2019,35,Sweden,0,2,USA
2019,36,Thailand,0,2,Chile
2019,38,Germany,3,0,Nigeria
2019,37,Norway,1,1,Australia
2019,39,England,3,0,Cameroon
2019,40,France,2,1,Brazil
2019,41,Spain,1,2,USA
2019,42,Sweden,1,0,Canada
2019,43,Italy,2,0,China PR
2019,44,Netherlands,2,1,Japan
2019,45,Norway,0,3,England
2019,46,France,1,2,USA
2019,47,Italy,0,2,Netherlands
2019,48,Germany,1,2,Sweden
2019,49,England,1,2,USA
2019,50,Netherlands,1,0,Sweden
2019,51,England,1,2,Sweden
2019,52,USA,2,0,Netherlands
